"client_code","client_address","yeardays","region"
"SKPI-AD","Pasay city","313","NCR"
"SLPI-GM","Pasay city","313","NCR"
"SKPI-CS","Pasay city","313","NCR"
"SKPI-PW","Pasay city","313","NCR"
"MNL-SC","Pasay city","313","NCR"
"SLPI-SA","Pasay city","313","NCR"
"CEBU-CBS","Pasay city","313","VII"
"CEB-CRG","Cebu city","313","VII"
"SKPI-GM","Pasay city","313","NCR"
"CEB-SA","Cebu city","313","VII"
"SKPI-OP","Pasay city","313","NCR"
"SLPI-EO","Pasay city","313","NCR"
"SLPI-TR","Pasay city","313","NCR"
"SLPI-OP","Pasay city","313","NCR"
"SKPI-AF","Pasay city","313","NCR"
"SLPI-PW","Pasay city","313","NCR"
"SKPI-CP","Pasay city","313","NCR"
"SKPI-QA","Pasay city","313","NCR"
"MNL-RMP","Pasay city","313","NCR"
"MNL-GEM","Pasay city","313","NCR"
"SKPI-EO","Pasay city","313","NCR"
"SLPI-AF","Pasay city","313","NCR"
"SLPI-SM","Pasay city","313","NCR"
"MNL-PSD","Pasay city","313","NCR"
"CEB-GEM","Cebu city","313","VII"
"SKPI-SS","Pasay city","313","NCR"
"SP","Pasay city","313","NCR"
"SKPI-FM","Pasay city","313","NCR"
"SLPI-A1","2ecom","313","NCR"
"SKPI-AC","Pal inflight center","313","NCR"
"SLPI-AC","Slpi","313","NCR"
"CEB-PSD","Cebu city","313","VII"
"CEB-RMP","Mactan","313","VII"
"CEB-MAB","Cebu city","313","VII"
"CEB-STN","Cebu city","313","VII"
"CEB-OSM","Pasay city","313","VII"
"SKPI-IT","Pasay city","313","NCR"
"SKPI-HR","Pasay city","313","NCR"
"SLPI-SS","Pasay city","313","NCR"
"SKPI-CF","Pasay city","313","NCR"
"SKPI-CA","Pasay city","313","NCR"
"SKPI-TR","Pasay city","313","NCR"
"SLSS-SA","Pasay city","313","NCR"
"SLPI-QA","Pasay city","313","NCR"
"SKY-OGM","Pasay city","314","NCR"
"SKPI-GE","Pal inflight","313","NCR"
"MNL-CBS","Pasay city","313","NCR"
"MNL-CSD","Pasay city","313","NCR"
"UA-RSD","Pasay city","314","NCR"
"UA-PSD","Pasay city","314","NCR"
"UA-MSC","Pasay city","314","NCR"
"CEB-EO","Cebu city","314","VII"
"SLPI-IC","Pasay city","313","NCR"
"CEB-HR","Pasay city","313","VII"
"SLPI-HR","Pasay city","313","NCR"
